Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-20,970.0,1100.0,900.0,907.55,706,EQ,64,11.03,537
2026-04-21,1049.95,1049.95,902.05,956.4,2831,EQ,391,7.24,2043
2026-04-22,956.0,960.05,910.0,947.9,4701,EQ,394,11.93,2980
2026-04-23,988.0,988.0,875.0,928.55,2464,EQ,232,10.62,1480
2026-04-24,939.95,950.0,900.0,939.05,869,EQ,101,8.6,630
2026-04-27,938.0,950.0,934.0,945.7,2083,EQ,120,17.36,1352
2026-04-28,911.4,949.8,880.4,924.2,2914,EQ,151,19.3,1168
2026-04-29,938.75,950.0,865.5,906.5,5235,EQ,245,21.37,2958
2026-04-30,904.0,940.0,877.8,910.7,1406,EQ,274,5.13,835
2026-05-04,987.0,987.0,888.0,916.4,2915,EQ,359,8.12,1365
2026-05-05,911.05,922.0,882.0,911.3,3508,EQ,142,24.7,2418
2026-05-06,911.3,930.0,861.4,904.6,1705,EQ,168,10.15,1188
2026-05-07,906.0,938.95,891.2,913.1,8613,EQ,263,32.75,6032
2026-05-08,900.1,914.95,893.0,909.3,980,EQ,76,12.89,602
